timestamp,environment,run_id,cpu_model,cpu_count,threads,operation,access_mode,block_size,total_size,throughput_mib_per_sec,total_time_seconds,workload,cpu_visible
2026-09-02T12:16:05Z,docker,1,Intel(R) Core(TM) i9-14900KF,,4,read,rnd,1M,4G,26329.24,0.1548,random_read,32.0
2026-09-02T12:16:25Z,docker,2,Intel(R) Core(TM) i9-14900KF,,4,read,rnd,1M,4G,26595.07,0.1533,random_read,32.0
2026-09-02T12:16:56Z,docker,3,Intel(R) Core(TM) i9-14900KF,,4,read,rnd,1M,4G,25993.78,0.1568,random_read,32.0
2026-09-02T12:17:45Z,docker,4,Intel(R) Core(TM) i9-14900KF,,4,read,rnd,1M,4G,25455.22,0.1602,random_read,32.0
2026-09-02T12:18:07Z,docker,5,Intel(R) Core(TM) i9-14900KF,,4,read,rnd,1M,4G,26191.39,0.1555,random_read,32.0
2026-09-02T12:13:27Z,vm,1,Intel(R) Core(TM) i9-14900KF,4.0,4,read,rnd,1M,4G,24678.0,0.1651,random_read,
2026-09-02T12:13:59Z,vm,2,Intel(R) Core(TM) i9-14900KF,4.0,4,read,rnd,1M,4G,25297.94,0.1611,random_read,
2026-09-02T12:14:26Z,vm,3,Intel(R) Core(TM) i9-14900KF,4.0,4,read,rnd,1M,4G,25575.16,0.1594,random_read,
2026-09-02T12:14:56Z,vm,4,Intel(R) Core(TM) i9-14900KF,4.0,4,read,rnd,1M,4G,23641.99,0.1725,random_read,
2026-09-02T12:15:20Z,vm,5,Intel(R) Core(TM) i9-14900KF,4.0,4,read,rnd,1M,4G,25202.13,0.1617,random_read,
2026-09-02T12:08:12Z,docker,1,Intel(R) Core(TM) i9-14900KF,,4,write,rnd,1M,4G,6105.01,0.6701,random_write,32.0
2026-09-02T12:09:25Z,docker,2,Intel(R) Core(TM) i9-14900KF,,4,write,rnd,1M,4G,6145.61,0.6657,random_write,32.0
2026-09-02T12:09:53Z,docker,3,Intel(R) Core(TM) i9-14900KF,,4,write,rnd,1M,4G,6169.94,0.6631,random_write,32.0
2026-09-02T12:10:26Z,docker,4,Intel(R) Core(TM) i9-14900KF,,4,write,rnd,1M,4G,6147.16,0.6656,random_write,32.0
2026-09-02T12:10:54Z,docker,5,Intel(R) Core(TM) i9-14900KF,,4,write,rnd,1M,4G,6068.9,0.6741,random_write,32.0
2026-09-02T11:50:15Z,vm,1,Intel(R) Core(TM) i9-14900KF,4.0,4,write,rnd,1M,4G,6079.39,0.6729,random_write,
2026-09-02T12:03:46Z,vm,2,Intel(R) Core(TM) i9-14900KF,4.0,4,write,rnd,1M,4G,6296.3,0.6497,random_write,
2026-09-02T12:04:43Z,vm,3,Intel(R) Core(TM) i9-14900KF,4.0,4,write,rnd,1M,4G,5937.84,0.689,random_write,
2026-09-02T12:05:09Z,vm,4,Intel(R) Core(TM) i9-14900KF,4.0,4,write,rnd,1M,4G,6113.26,0.6691,random_write,
2026-09-02T12:05:32Z,vm,5,Intel(R) Core(TM) i9-14900KF,4.0,4,write,rnd,1M,4G,6088.87,0.6719,random_write,
2026-09-02T11:37:26Z,docker,1,Intel(R) Core(TM) i9-14900KF,,4,read,seq,1M,4G,267932.25,0.0145,sequential_read,32.0
2026-09-02T11:38:29Z,docker,2,Intel(R) Core(TM) i9-14900KF,,4,read,seq,1M,4G,272908.22,0.0143,sequential_read,32.0
2026-09-02T11:39:12Z,docker,3,Intel(R) Core(TM) i9-14900KF,,4,read,seq,1M,4G,269917.59,0.0144,sequential_read,32.0
2026-09-02T11:39:46Z,docker,4,Intel(R) Core(TM) i9-14900KF,,4,read,seq,1M,4G,271582.81,0.0143,sequential_read,32.0
2026-09-02T11:45:20Z,docker,5,Intel(R) Core(TM) i9-14900KF,,4,read,seq,1M,4G,261006.61,0.0149,sequential_read,32.0
2026-09-02T06:29:30Z,vm,1,Intel(R) Core(TM) i9-14900KF,4.0,4,read,seq,1M,4G,224157.61,0.0175,sequential_read,
2026-09-02T06:57:12Z,vm,2,Intel(R) Core(TM) i9-14900KF,4.0,4,read,seq,1M,4G,226339.87,0.0172,sequential_read,
2026-09-02T06:57:45Z,vm,3,Intel(R) Core(TM) i9-14900KF,4.0,4,read,seq,1M,4G,222740.52,0.0176,sequential_read,
2026-09-02T06:58:18Z,vm,4,Intel(R) Core(TM) i9-14900KF,4.0,4,read,seq,1M,4G,203538.22,0.0193,sequential_read,
2026-09-02T06:59:14Z,vm,5,Intel(R) Core(TM) i9-14900KF,4.0,4,read,seq,1M,4G,188131.15,0.021,sequential_read,
2026-09-02T05:28:47Z,docker,1,Intel(R) Core(TM) i9-14900KF,,4,write,seq,1M,4G,130064.19,0.0307,sequential_write,32.0
2026-09-02T05:29:33Z,docker,2,Intel(R) Core(TM) i9-14900KF,,4,write,seq,1M,4G,129146.42,0.0309,sequential_write,32.0
2026-09-02T05:32:11Z,docker,3,Intel(R) Core(TM) i9-14900KF,,4,write,seq,1M,4G,121460.46,0.033,sequential_write,32.0
2026-09-02T05:32:43Z,docker,4,Intel(R) Core(TM) i9-14900KF,,4,write,seq,1M,4G,128869.68,0.031,sequential_write,32.0
2026-09-02T05:33:06Z,docker,5,Intel(R) Core(TM) i9-14900KF,,4,write,seq,1M,4G,130722.78,0.0306,sequential_write,32.0
2026-09-02T04:13:20Z,vm,1,Intel(R) Core(TM) i9-14900KF,4.0,4,write,seq,1M,4G,117947.43,0.0339,sequential_write,
2026-09-02T04:17:31Z,vm,2,Intel(R) Core(TM) i9-14900KF,4.0,4,write,seq,1M,4G,114792.24,0.0348,sequential_write,
2026-09-02T05:14:57Z,vm,3,Intel(R) Core(TM) i9-14900KF,4.0,4,write,seq,1M,4G,113839.41,0.0352,sequential_write,
2026-09-02T05:17:49Z,vm,4,Intel(R) Core(TM) i9-14900KF,4.0,4,write,seq,1M,4G,98113.58,0.041,sequential_write,
2026-09-02T05:19:20Z,vm,5,Intel(R) Core(TM) i9-14900KF,4.0,4,write,seq,1M,4G,114955.29,0.0348,sequential_write,
